year,program_genre,nb_declarations,total_declarations_duration,women_speech_duration,men_speech_duration,other_duration,women_expression_rate,speech_rate
2019,Information - Journal,12172.0,46426696.82,15227561.64,23912775.34,7286359.84,0.3890503458818203,0.8430566820583899
2019,Information - Magazine,10773.0,53435793.92,14629241.66,33703544.66,5103007.6,0.3026773909359009,0.904502072007392
2019,Information - Autres émissions,,,,,,,
2019,Documentaire,521.0,1834222.64,537780.7200000001,947300.84,349141.08,0.3621220103224499,0.8096517443487667
2019,Magazine,15113.0,45898496.56,14600771.9,24428136.0,6869588.66,0.3741014721039633,0.8503308566758858
2019,Divertissement - Variétés,843.0,2804138.44,1119862.4600000002,1246383.52,437892.46,0.4732654463928555,0.8438406414770306
2019,Divertissement - Jeux,1358.0,4168509.44,943693.1799999998,2015160.98,1209655.28,0.3189387272808335,0.709811073379745
2019,Divertissement - Autres,2379.0,14399727.22,2098497.86,4397485.18,7903744.180000001,0.3230454647246124,0.4511184788957412
2019,Sport,770.0,4030843.46,370891.3,3074599.4600000004,585352.7000000002,0.1076454200097753,0.8547815845966888
2019,Autres émissions - Elément de programme/Habillage,,,,,,,
2019,Autres émissions - Autres,,,,,,,
2019,Non Renseigné,,,,,,,
2019,Musique,725.0,5215657.859999999,236472.58,393271.1,4585914.18,0.3755060789176955,0.1207409874082499
2020,Information - Journal,11770.0,31573605.19999997,10733020.959999995,16666252.559999969,4174331.6800000006,0.3917264796150701,0.867790464422479
2020,Information - Magazine,8839.0,43921146.17999999,12265253.54000001,28520630.37999996,3135262.2600000063,0.3007230041662909,0.928616110172742
2020,Information - Autres émissions,475.0,873112.4599999989,286694.2799999994,489202.0799999994,97216.10000000022,0.3695007410525806,0.8886556950521582
2020,Documentaire,737.0,2471803.8200000008,710360.9599999995,1159896.7800000012,601546.0800000001,0.3798198209836037,0.7566368029967686
2020,Magazine,18189.0,56430421.81999985,18222632.139999893,28479390.23999992,9728399.440000037,0.3901893582193937,0.827603637785459
2020,Divertissement - Variétés,367.0,2194760.66,400969.78,742060.0399999997,1051730.84,0.3507955549226179,0.5207993020979335
2020,Divertissement - Jeux,1494.0,4478254.940000003,1330079.9600000002,2149085.780000003,999089.2,0.3822985334409504,0.7769021162515595
2020,Divertissement - Autres,2809.0,15923434.160000017,2863331.3200000008,4544665.439999997,8515437.400000015,0.3865189757453405,0.4652260740719508
2020,Sport,2485.0,9112240.77999999,1031995.22,6842492.439999989,1237753.1200000003,0.1310555384120065,0.8641658896111827
2020,Autres émissions - Elément de programme/Habillage,4.0,37552.81999999999,5989.899999999995,16972.439999999995,14590.48000000001,0.2608575606841462,0.611467793896703
2020,Autres émissions - Autres,61.0,939597.08,350685.4799999999,508552.6399999997,80358.96000000021,0.4081353839375749,0.9144750854270426
2020,Non Renseigné,634.0,1565437.1399999994,508041.09999999945,913072.0800000004,144323.95999999982,0.357495171496474,0.9078059691365188
2020,Musique,572.0,7229206.119999998,177836.09999999983,226377.7599999997,6824992.259999999,0.4399554730755646,0.0559140040123796
