year,channel_name,theme,total_subjects,total_duration,n_days,total_subjects_channel_year,total_duration_channel_year,theme_share_subjects,theme_share_duration
2000,Arte,Catastrophes,133,9328,104,3921,404972,0.033919918388166284,0.023033691218158292
2000,Arte,Culture-loisirs,313,53981,253,3921,404972,0.07982657485335373,0.1332956352537953
2000,Arte,Economie,308,34342,190,3921,404972,0.07855138995154297,0.08480092450836108
2000,Arte,Education,25,3641,21,3921,404972,0.006375924509053813,0.008990745039163202
2000,Arte,Environnement,123,15859,103,3921,404972,0.03136954858454476,0.039160732099997035
2000,Arte,Faits divers,29,2170,26,3921,404972,0.007396072430502423,0.0053583951483065495
2000,Arte,Histoire-hommages,65,7737,58,3921,404972,0.016577403723539913,0.01910502454490681
2000,Arte,International,1714,158267,362,3921,404972,0.4371333843407294,0.39080973499402427
2000,Arte,Justice,276,22895,177,3921,404972,0.0703902065799541,0.05653477277441404
2000,Arte,Politique France,181,15675,144,3921,404972,0.04616169344554961,0.038706379700324964
2000,Arte,Santé,45,4909,38,3921,404972,0.011476664116296864,0.012121825706468595
2000,Arte,Sciences et techniques,67,5412,57,3921,404972,0.01708747768426422,0.013363886886006935
2000,Arte,Société,600,65345,285,3921,404972,0.1530221882172915,0.16135683454658595
2000,Arte,Sport,42,5411,36,3921,404972,0.010711553175210406,0.013361417579486976
2000,France 2,Catastrophes,338,29720,169,6456,611245,0.0523543990086741,0.048622074618197286
2000,France 2,Culture-loisirs,591,72162,313,6456,611245,0.09154275092936803,0.1180574074225556
2000,France 2,Economie,449,45232,234,6456,611245,0.06954770755885997,0.07399978731932368
2000,France 2,Education,112,11926,85,6456,611245,0.01734820322180917,0.019510998044973783
2000,France 2,Environnement,340,32097,197,6456,611245,0.052664188351920695,0.05251085898453157
2000,France 2,Faits divers,157,12841,119,6456,611245,0.024318463444857497,0.021007942805258122
2000,France 2,Histoire-hommages,82,8826,59,6456,611245,0.012701363073110285,0.014439381917234496
2000,France 2,International,1142,101470,342,6456,611245,0.1768897149938042,0.16600544789732433
2000,France 2,Justice,465,42860,243,6456,611245,0.07202602230483271,0.07011918297900187
2000,France 2,Politique France,572,57655,272,6456,611245,0.0885997521685254,0.09432387994993824
2000,France 2,Santé,208,21393,142,6456,611245,0.0322180916976456,0.03499905929700856
2000,France 2,Sciences et techniques,108,10742,87,6456,611245,0.016728624535315983,0.017573967885217874
2000,France 2,Société,1207,109382,342,6456,611245,0.18695786864931846,0.17894952105947698
2000,France 2,Sport,685,54939,309,6456,611245,0.10610285006195787,0.08988048981995762
2000,France 3,Catastrophes,204,17890,123,4141,383985,0.04926346293165902,0.04659036160266677
2000,France 3,Culture-loisirs,299,32422,226,4141,383985,0.07220478145375513,0.08443558993189838
2000,France 3,Economie,284,27898,181,4141,383985,0.06858246800289786,0.0726538797088428
2000,France 3,Education,75,8140,60,4141,383985,0.018111567254286403,0.021198744742633176
2000,France 3,Environnement,197,18060,139,4141,383985,0.04757304998792562,0.04703308722996992
2000,France 3,Faits divers,116,10471,99,4141,383985,0.028012557353296306,0.02726929437347813
2000,France 3,Histoire-hommages,47,4437,38,4141,383985,0.011349915479352813,0.011555138872612211
2000,France 3,International,661,58104,300,4141,383985,0.15962327940111085,0.15131841087542483
2000,France 3,Justice,330,32639,197,4141,383985,0.07969089591886018,0.08500071617380887
2000,France 3,Politique France,352,32780,220,4141,383985,0.08500362231345086,0.0853679180176309
2000,France 3,Santé,138,14200,108,4141,383985,0.033325283747886986,0.03698061122179252
2000,France 3,Sciences et techniques,107,10293,86,4141,383985,0.025839169282781935,0.026805734599007775
2000,France 3,Société,906,82191,335,4141,383985,0.21878773243177976,0.21404742372748936
2000,France 3,Sport,425,34460,241,4141,383985,0.10263221444095628,0.08974308892274438
2000,M6,Catastrophes,221,13097,149,4125,230592,0.053575757575757575,0.05679728698306966
2000,M6,Culture-loisirs,333,22807,238,4125,230592,0.08072727272727273,0.0989062933666389
2000,M6,Economie,321,18896,209,4125,230592,0.07781818181818181,0.08194560088814877
2000,M6,Education,113,8176,88,4125,230592,0.027393939393939394,0.03545656397446572
2000,M6,Environnement,271,15171,198,4125,230592,0.0656969696969697,0.06579152789342214
2000,M6,Faits divers,157,7983,126,4125,230592,0.03806060606060606,0.03461958784346378
2000,M6,Histoire-hommages,40,1896,36,4125,230592,0.009696969696969697,0.008222314737718568
2000,M6,International,398,18836,263,4125,230592,0.09648484848484848,0.08168540105467666
2000,M6,Justice,251,11885,179,4125,230592,0.060848484848484846,0.05154125034693311
2000,M6,Politique France,213,10904,174,4125,230592,0.05163636363636363,0.04728698306966417
2000,M6,Santé,138,8318,115,4125,230592,0.03345454545454545,0.03607237024701637
2000,M6,Sciences et techniques,132,6564,112,4125,230592,0.032,0.02846586178184846
2000,M6,Société,956,53159,342,4125,230592,0.23175757575757575,0.23053271579239523
2000,M6,Sport,581,32900,313,4125,230592,0.14084848484848486,0.14267624202053844
2000,TF1,Catastrophes,490,44413,219,7402,683694,0.06619832477708727,0.0649603477579151
2000,TF1,Culture-loisirs,579,60076,283,7402,683694,0.07822210213455823,0.08786971949439369
2000,TF1,Economie,601,54164,271,7402,683694,0.08119427181842745,0.07922257618174212
2000,TF1,Education,200,19127,137,7402,683694,0.027019724398811132,0.027975965856070113
2000,TF1,Environnement,585,51800,266,7402,683694,0.07903269386652256,0.07576488897079688
2000,TF1,Faits divers,195,17242,142,7402,683694,0.026344231288840853,0.025218884471708104
2000,TF1,Histoire-hommages,74,6773,59,7402,683694,0.009997298027560119,0.009906478629328325
2000,TF1,International,815,72154,324,7402,683694,0.11010537692515536,0.10553551735132968
2000,TF1,Justice,437,39835,229,7402,683694,0.059038097811402325,0.05826436973265818
2000,TF1,Politique France,446,50723,246,7402,683694,0.06025398540934882,0.07418962284296776
2000,TF1,Santé,337,33334,217,7402,683694,0.04552823561199676,0.04875572990255875
2000,TF1,Sciences et techniques,159,14335,122,7402,683694,0.02148068089705485,0.02096698230494929
2000,TF1,Société,1725,155164,359,7402,683694,0.23304512293974602,0.2269494832483538
2000,TF1,Sport,759,64554,314,7402,683694,0.10253985409348824,0.09441943325522821
2001,Arte,Catastrophes,163,9129,124,4486,410052,0.036335265269728044,0.022263030054724766
2001,Arte,Culture-loisirs,353,54753,277,4486,410052,0.07868925546143558,0.13352696731146294
2001,Arte,Economie,252,21787,169,4486,410052,0.05617476593847526,0.053132285661330755
2001,Arte,Education,21,3465,17,4486,410052,0.004681230494872938,0.008450147786134442
2001,Arte,Environnement,111,9632,87,4486,410052,0.024743646901471242,0.023489703744890893
2001,Arte,Faits divers,31,1667,30,4486,410052,0.0069103878733838605,0.004065338054685747
2001,Arte,Histoire-hommages,78,7753,62,4486,410052,0.017387427552385197,0.018907358091168926
2001,Arte,International,1943,166109,364,4486,410052,0.4331252786446723,0.4050925248505068
2001,Arte,Justice,260,20051,171,4486,410052,0.057958091841284,0.04889867626544926
2001,Arte,Politique France,237,22998,166,4486,410052,0.052831029870708875,0.05608556963507067
2001,Arte,Santé,71,7131,52,4486,410052,0.015827017387427554,0.017390477305317373
2001,Arte,Sciences et techniques,90,7554,77,4486,410052,0.020062416406598307,0.01842205378830002
2001,Arte,Société,850,75731,324,4486,410052,0.18947837717342844,0.18468633246515076
2001,Arte,Sport,26,2292,21,4486,410052,0.0057958091841284,0.005589534985806678
2001,France 2,Catastrophes,398,34978,191,7617,711356,0.052251542602074305,0.04917087927844849
2001,France 2,Culture-loisirs,583,66802,311,7617,711356,0.07653931994223448,0.09390797294181816
2001,France 2,Economie,379,34240,229,7617,711356,0.0497571222265984,0.04813342405209206
2001,France 2,Education,104,10829,79,7617,711356,0.013653669423657607,0.015223038816007737
2001,France 2,Environnement,221,19081,154,7617,711356,0.029014047525272417,0.026823418935104225
2001,France 2,Faits divers,238,20668,162,7617,711356,0.031245897334908755,0.029054369401537345
2001,France 2,Histoire-hommages,125,12077,82,7617,711356,0.016410660364973087,0.0169774346459438
2001,France 2,International,1690,159430,340,7617,711356,0.22187212813443613,0.22412125574255365
2001,France 2,Justice,549,50982,253,7617,711356,0.07207562032296179,0.07166875657195554
2001,France 2,Politique France,719,75481,295,7617,711356,0.0943941184193252,0.10610861509567643
2001,France 2,Santé,232,22427,159,7617,711356,0.03045818563739005,0.031527111600942424
2001,France 2,Sciences et techniques,145,12696,115,7617,711356,0.01903636602336878,0.017847603731464975
2001,France 2,Société,1597,141180,354,7617,711356,0.20966259682289615,0.19846602826151744
2001,France 2,Sport,637,50485,327,7617,711356,0.08362872521990285,0.07097009092493772
2001,France 3,Catastrophes,218,19164,136,4385,420668,0.049714937286202965,0.04555611551151977
2001,France 3,Culture-loisirs,305,32017,210,4385,420668,0.06955530216647662,0.07610990139492427
2001,France 3,Economie,235,23443,161,4385,420668,0.053591790193842644,0.055728032557741496
2001,France 3,Education,49,5319,41,4385,420668,0.011174458380843785,0.012644175454277483
2001,France 3,Environnement,112,9162,86,4385,420668,0.025541619156214366,0.021779645706352754
2001,France 3,Faits divers,114,10858,94,4385,420668,0.025997719498289624,0.025811328648720606
2001,France 3,Histoire-hommages,76,8019,61,4385,420668,0.01733181299885975,0.019062538629037624
2001,France 3,International,985,99736,284,4385,420668,0.22462941847206386,0.2370895813325473
2001,France 3,Justice,395,38295,218,4385,420668,0.09007981755986318,0.0910337843620147
2001,France 3,Politique France,428,42051,235,4385,420668,0.0976054732041049,0.09996244068956993
2001,France 3,Santé,102,10775,87,4385,420668,0.023261117445838083,0.02561402341038539
2001,France 3,Sciences et techniques,97,9352,85,4385,420668,0.02212086659064994,0.02223130830013217
2001,France 3,Société,925,85964,316,4385,420668,0.21094640820980615,0.20435117479817813
2001,France 3,Sport,344,26513,197,4385,420668,0.07844925883694413,0.0630259492045984
2001,M6,Catastrophes,280,18768,177,3926,243419,0.07131940906775344,0.07710162312720042
2001,M6,Culture-loisirs,316,22116,212,3926,243419,0.08048904737646459,0.09085568505334424
2001,M6,Economie,282,16476,195,3926,243419,0.0718288334182374,0.06768575994478657
2001,M6,Education,91,6375,80,3926,243419,0.023178807947019868,0.02618941002961971
2001,M6,Environnement,168,9756,136,3926,243419,0.04279164544065207,0.04007904066650508
2001,M6,Faits divers,173,9399,139,3926,243419,0.04406520631686195,0.03861243370484638
