year,channel_name,theme,total_subjects,total_duration,n_days
2000,Arte,Catastrophes,133,9328,104
2000,Arte,Culture-loisirs,313,53981,253
2000,Arte,Economie,308,34342,190
2000,Arte,Education,25,3641,21
2000,Arte,Environnement,123,15859,103
2000,Arte,Faits divers,29,2170,26
2000,Arte,Histoire-hommages,65,7737,58
2000,Arte,International,1714,158267,362
2000,Arte,Justice,276,22895,177
2000,Arte,Politique France,181,15675,144
2000,Arte,Santé,45,4909,38
2000,Arte,Sciences et techniques,67,5412,57
2000,Arte,Société,600,65345,285
2000,Arte,Sport,42,5411,36
2000,France 2,Catastrophes,338,29720,169
2000,France 2,Culture-loisirs,591,72162,313
2000,France 2,Economie,449,45232,234
2000,France 2,Education,112,11926,85
2000,France 2,Environnement,340,32097,197
2000,France 2,Faits divers,157,12841,119
2000,France 2,Histoire-hommages,82,8826,59
2000,France 2,International,1142,101470,342
2000,France 2,Justice,465,42860,243
2000,France 2,Politique France,572,57655,272
2000,France 2,Santé,208,21393,142
2000,France 2,Sciences et techniques,108,10742,87
2000,France 2,Société,1207,109382,342
2000,France 2,Sport,685,54939,309
2000,France 3,Catastrophes,204,17890,123
2000,France 3,Culture-loisirs,299,32422,226
2000,France 3,Economie,284,27898,181
2000,France 3,Education,75,8140,60
2000,France 3,Environnement,197,18060,139
2000,France 3,Faits divers,116,10471,99
2000,France 3,Histoire-hommages,47,4437,38
2000,France 3,International,661,58104,300
2000,France 3,Justice,330,32639,197
2000,France 3,Politique France,352,32780,220
2000,France 3,Santé,138,14200,108
2000,France 3,Sciences et techniques,107,10293,86
2000,France 3,Société,906,82191,335
2000,France 3,Sport,425,34460,241
2000,M6,Catastrophes,221,13097,149
2000,M6,Culture-loisirs,333,22807,238
2000,M6,Economie,321,18896,209
2000,M6,Education,113,8176,88
2000,M6,Environnement,271,15171,198
2000,M6,Faits divers,157,7983,126
2000,M6,Histoire-hommages,40,1896,36
2000,M6,International,398,18836,263
2000,M6,Justice,251,11885,179
2000,M6,Politique France,213,10904,174
2000,M6,Santé,138,8318,115
2000,M6,Sciences et techniques,132,6564,112
2000,M6,Société,956,53159,342
2000,M6,Sport,581,32900,313
2000,TF1,Catastrophes,490,44413,219
2000,TF1,Culture-loisirs,579,60076,283
2000,TF1,Economie,601,54164,271
2000,TF1,Education,200,19127,137
2000,TF1,Environnement,585,51800,266
2000,TF1,Faits divers,195,17242,142
2000,TF1,Histoire-hommages,74,6773,59
2000,TF1,International,815,72154,324
2000,TF1,Justice,437,39835,229
2000,TF1,Politique France,446,50723,246
2000,TF1,Santé,337,33334,217
2000,TF1,Sciences et techniques,159,14335,122
2000,TF1,Société,1725,155164,359
2000,TF1,Sport,759,64554,314
2001,Arte,Catastrophes,163,9129,124
2001,Arte,Culture-loisirs,353,54753,277
2001,Arte,Economie,252,21787,169
2001,Arte,Education,21,3465,17
2001,Arte,Environnement,111,9632,87
2001,Arte,Faits divers,31,1667,30
2001,Arte,Histoire-hommages,78,7753,62
2001,Arte,International,1943,166109,364
2001,Arte,Justice,260,20051,171
