year,theme,total_subjects,total_duration,n_days
2000,Catastrophes,1386,114448,286
2000,Culture-loisirs,2115,241448,365
2000,Economie,1963,180532,355
2000,Education,525,51010,210
2000,Environnement,1516,132987,332
2000,Faits divers,654,50707,247
2000,Histoire-hommages,308,29669,139
2000,International,4730,408831,366
2000,Justice,1759,150114,338
2000,Politique France,1764,167737,344
2000,Santé,866,82154,300
2000,Sciences et techniques,573,47346,254
2000,Société,5394,465241,366
2000,Sport,2492,192264,361
2001,Catastrophes,1584,129210,317
2001,Culture-loisirs,2018,220651,363
2001,Economie,1591,135100,342
2001,Education,417,40428,198
2001,Environnement,980,79802,315
2001,Faits divers,805,65456,273
2001,Histoire-hommages,442,43669,166
2001,International,6520,601152,365
2001,Justice,2053,177129,342
2001,Politique France,2166,210268,352
2001,Santé,834,77642,297
2001,Sciences et techniques,681,55859,285
2001,Société,6245,529185,365
2001,Sport,1978,142755,357
2002,Catastrophes,1421,107573,305
2002,Culture-loisirs,2153,219616,356
2002,Economie,1927,162973,357
2002,Education,592,55290,231
2002,Environnement,1305,112748,309
2002,Faits divers,1113,89978,293
2002,Histoire-hommages,363,32100,155
2002,International,5085,411022,365
2002,Justice,1950,159151,343
2002,Politique France,3500,329523,360
2002,Santé,889,77837,313
2002,Sciences et techniques,673,54267,290
2002,Société,6329,522770,364
2002,Sport,2145,149780,355
2003,Catastrophes,1479,116279,301
2003,Culture-loisirs,2052,205787,360
2003,Economie,1650,139306,346
2003,Education,778,68452,231
2003,Environnement,1700,136650,327
2003,Faits divers,1130,89436,302
2003,Histoire-hommages,264,23256,143
2003,International,7504,662434,365
2003,Justice,1509,114112,330
2003,Politique France,1692,145098,342
2003,Santé,1255,111358,322
2003,Sciences et techniques,733,58057,271
2003,Société,6381,542943,364
2003,Sport,1621,106879,347
2004,Catastrophes,1477,118896,279
2004,Culture-loisirs,1730,158510,353
2004,Economie,1689,145221,349
2004,Education,535,49603,220
2004,Environnement,821,63502,282
2004,Faits divers,1161,93715,312
2004,Histoire-hommages,845,82653,211
2004,International,6300,512689,366
2004,Justice,1958,159190,344
2004,Politique France,1777,156987,338
2004,Santé,1111,98877,311
2004,Sciences et techniques,755,59609,289
2004,Société,5558,452921,366
2004,Sport,1805,124914,351
2005,Catastrophes,2472,206580,317
2005,Culture-loisirs,1930,190386,359
2005,Economie,1836,161490,357
2005,Education,656,60020,250
2005,Environnement,1279,101793,313
2005,Faits divers,846,68718,266
2005,Histoire-hommages,700,65596,214
2005,International,5488,448472,364
2005,Justice,1528,124473,320
2005,Politique France,1226,105494,313
2005,Santé,1378,120564,313
2005,Sciences et techniques,737,60343,271
2005,Société,6631,571766,364
2005,Sport,2013,134400,356
2006,Catastrophes,953,68084,285
2006,Culture-loisirs,1923,187774,362
2006,Economie,1737,154100,353
2006,Education,727,70768,259
2006,Environnement,1270,100372,329
2006,Faits divers,959,79719,281
2006,Histoire-hommages,383,33734,170
2006,International,4563,368649,365
2006,Justice,1946,167148,341
2006,Politique France,1584,146742,328
2006,Santé,1484,130854,328
2006,Sciences et techniques,817,65898,291
2006,Société,5849,510494,365
2006,Sport,2715,202487,358
2007,Catastrophes,1266,85706,297
2007,Culture-loisirs,2050,199947,357
2007,Economie,1902,166138,345
2007,Education,654,57451,238
2007,Environnement,1537,121234,335
2007,Faits divers,1147,81593,312
2007,Histoire-hommages,524,43519,186
2007,International,4806,349789,365
2007,Justice,1837,141429,334
2007,Politique France,3037,282067,352
2007,Santé,925,80650,301
2007,Sciences et techniques,632,48350,273
2007,Société,5591,463301,365
2007,Sport,2580,163288,354
2008,Catastrophes,1305,85722,291
2008,Culture-loisirs,2284,224664,366
2008,Economie,3340,285299,363
2008,Education,651,60621,229
2008,Environnement,1021,80685,331
2008,Faits divers,1442,105210,317
2008,Histoire-hommages,587,48056,200
2008,International,5252,400344,366
2008,Justice,1642,129947,327
2008,Politique France,1793,160745,327
2008,Santé,990,91393,306
2008,Sciences et techniques,595,47481,253
2008,Société,4905,404947,366
2008,Sport,2896,196048,358
2009,Catastrophes,1813,130775,293
2009,Culture-loisirs,2159,213846,360
2009,Economie,2740,228656,359
2009,Education,604,54265,229
2009,Environnement,1046,93254,309
2009,Faits divers,1485,102125,322
2009,Histoire-hommages,820,72974,218
2009,International,4540,337000,365
2009,Justice,1791,143643,331
2009,Politique France,1343,109198,309
2009,Santé,1733,151783,331
2009,Sciences et techniques,519,45772,232
2009,Société,4883,404096,365
2009,Sport,2105,127035,351
2010,Catastrophes,2976,216150,337
2010,Culture-loisirs,2920,318366,364
2010,Economie,1994,179205,353
2010,Education,583,57222,217
2010,Environnement,1384,108517,324
2010,Faits divers,1329,89189,312
2010,Histoire-hommages,543,45412,190
2010,International,3783,275654,364
2010,Justice,1514,121086,319
2010,Politique France,1859,158436,324
2010,Santé,902,87824,295
2010,Sciences et techniques,396,35754,204
2010,Société,5736,487350,365
2010,Sport,2532,173859,350
2011,Catastrophes,1613,112723,299
2011,Culture-loisirs,2870,295278,365
2011,Economie,2786,256533,356
2011,Education,598,61031,224
2011,Environnement,1486,124255,313
2011,Faits divers,1919,134901,344
2011,Histoire-hommages,533,43186,184
2011,International,6674,511764,365
2011,Justice,2237,179516,325
2011,Politique France,2301,192961,341
2011,Santé,1122,105745,306
2011,Sciences et techniques,478,41626,221
2011,Société,4397,383244,361
2011,Sport,1862,126597,346
2012,Catastrophes,1792,120176,301
2012,Culture-loisirs,2386,246016,362
2012,Economie,3285,305352,362
2012,Education,598,67207,238
2012,Environnement,1156,95586,282
2012,Faits divers,1903,139505,338
2012,Histoire-hommages,605,49692,200
2012,International,4269,319404,365
