theme,total_subjects_all_years,total_duration_all_years,n_days_all_years
Société,108039,9829932,7595
International,103299,8531221,7599
Politique France,51716,4788726,7056
Economie,50529,5012040,7414
Culture-loisirs,44071,4773551,7516
Sport,40943,2912559,6923
Catastrophes,37126,2793608,6245
Justice,32176,2671773,6562
Santé,30242,2985161,6367
Environnement,26166,2346820,6562
Faits divers,25521,1941726,6219
Histoire-hommages,12462,1137888,3907
Sciences et techniques,12185,1126722,5298
Education,11963,1224971,4675
