year,is_public_channel,theme,total_subjects,total_duration,n_days
2000,False,Catastrophes,711,57510,250
2000,False,Culture-loisirs,912,82883,335
2000,False,Economie,922,73060,313
2000,False,Education,313,27303,169
2000,False,Environnement,856,66971,298
2000,False,Faits divers,352,25225,194
2000,False,Histoire-hommages,114,8669,76
2000,False,International,1213,90990,339
2000,False,Justice,688,51720,264
2000,False,Politique France,659,61627,275
2000,False,Santé,475,41652,245
2000,False,Sciences et techniques,291,20899,194
2000,False,Société,2681,208323,364
2000,False,Sport,1340,97454,349
2000,True,Catastrophes,542,47610,205
2000,True,Culture-loisirs,890,104584,338
2000,True,Economie,733,73130,279
2000,True,Education,187,20066,118
2000,True,Environnement,537,50157,236
2000,True,Faits divers,273,23312,161
2000,True,Histoire-hommages,129,13263,74
2000,True,International,1803,159574,356
2000,True,Justice,795,75499,286
2000,True,Politique France,924,90435,307
2000,True,Santé,346,35593,194
2000,True,Sciences et techniques,215,21035,142
2000,True,Société,2113,191573,364
2000,True,Sport,1110,89399,334
2001,False,Catastrophes,805,65939,272
2001,False,Culture-loisirs,777,67079,325
2001,False,Economie,725,55630,305
2001,False,Education,243,20815,153
2001,False,Environnement,536,41927,252
2001,False,Faits divers,422,32263,217
2001,False,Histoire-hommages,163,15820,94
2001,False,International,1902,175877,327
2001,False,Justice,849,67801,294
2001,False,Politique France,782,69738,290
2001,False,Santé,429,37309,238
2001,False,Sciences et techniques,349,26257,215
2001,False,Société,2873,226310,364
2001,False,Sport,971,63465,325
2001,True,Catastrophes,616,54142,220
2001,True,Culture-loisirs,888,98819,332
2001,True,Economie,614,57683,271
2001,True,Education,153,16148,97
2001,True,Environnement,333,28243,198
2001,True,Faits divers,352,31526,195
2001,True,Histoire-hommages,201,20096,109
2001,True,International,2675,259166,356
2001,True,Justice,944,89277,290
2001,True,Politique France,1147,117532,319
2001,True,Santé,334,33202,197
2001,True,Sciences et techniques,242,22048,164
2001,True,Société,2522,227144,363
2001,True,Sport,981,76998,338
2002,False,Catastrophes,688,52415,259
2002,False,Culture-loisirs,824,65599,322
2002,False,Economie,773,59956,310
2002,False,Education,310,27486,181
2002,False,Environnement,680,52818,262
2002,False,Faits divers,549,43756,234
2002,False,Histoire-hommages,126,10110,83
2002,False,International,1315,100441,341
2002,False,Justice,785,62620,294
2002,False,Politique France,1335,123466,335
2002,False,Santé,436,37025,248
2002,False,Sciences et techniques,301,22152,206
2002,False,Société,2824,228034,361
2002,False,Sport,1020,69834,324
2002,True,Catastrophes,604,46496,233
2002,True,Culture-loisirs,978,101425,333
2002,True,Economie,929,84217,313
2002,True,Education,262,25085,148
2002,True,Environnement,526,51128,228
2002,True,Faits divers,531,43369,240
2002,True,Histoire-hommages,180,16931,97
2002,True,International,2007,169639,358
2002,True,Justice,943,81167,296
2002,True,Politique France,1869,175640,348
2002,True,Santé,403,35945,219
2002,True,Sciences et techniques,317,27579,203
2002,True,Société,2802,234300,360
2002,True,Sport,1089,77507,335
2003,False,Catastrophes,691,55911,259
2003,False,Culture-loisirs,735,57766,321
2003,False,Economie,724,56045,292
2003,False,Education,375,31689,181
2003,False,Environnement,869,70466,298
2003,False,Faits divers,583,44553,252
2003,False,Histoire-hommages,90,7200,68
2003,False,International,2167,184710,359
2003,False,Justice,638,47409,276
2003,False,Politique France,626,52437,276
2003,False,Santé,612,53626,263
2003,False,Sciences et techniques,323,25412,191
2003,False,Société,2738,221408,361
2003,False,Sport,719,44344,316
2003,True,Catastrophes,696,55835,229
2003,True,Culture-loisirs,962,92955,338
2003,True,Economie,784,69381,298
2003,True,Education,364,32602,159
2003,True,Environnement,734,57830,259
2003,True,Faits divers,509,42783,231
2003,True,Histoire-hommages,128,11246,88
2003,True,International,3269,286849,354
2003,True,Justice,713,57715,267
2003,True,Politique France,938,82296,311
2003,True,Santé,541,50558,250
2003,True,Sciences et techniques,338,27324,191
2003,True,Société,3044,264066,353
2003,True,Sport,870,58926,316
2004,False,Catastrophes,586,48560,218
2004,False,Culture-loisirs,675,50898,294
2004,False,Economie,762,59442,288
2004,False,Education,271,23929,161
2004,False,Environnement,406,30302,211
2004,False,Faits divers,511,39342,237
