year,channel_name,theme,total_subjects,total_duration,n_days,total_subjects_all_themes,theme_share,avg_female_share,avg_male_share
2010,France 2,Catastrophes,759,55148,263,7015,0.10819672131147541,0.2798687260951868,0.7201312739048131
2010,France 3,Catastrophes,572,46281,229,5197,0.11006349817202232,0.2983292962870903,0.7016707037129097
2010,M6,Catastrophes,546,30352,244,5124,0.10655737704918032,0.3960734782522851,0.6039265217477149
2010,TF1,Catastrophes,896,68164,276,7168,0.125,0.3268777265697555,0.6731222734302444
2011,France 2,Catastrophes,418,29263,201,7918,0.05279110886587522,0.3003856275098211,0.6996143724901788
2011,France 3,Catastrophes,333,23032,177,5563,0.05985978788423513,0.29821827251532657,0.7017817274846735
2011,M6,Catastrophes,311,18444,174,5558,0.055955379632961495,0.3921738155567911,0.6078261844432089
2011,TF1,Catastrophes,476,35475,223,7964,0.05976896032144651,0.35015486024680925,0.6498451397531907
2012,France 2,Catastrophes,529,34758,205,8241,0.06419123892731464,0.3279118449844103,0.6720881550155897
2012,France 3,Catastrophes,348,23288,192,5363,0.06488905463360059,0.3011573633003392,0.6988426366996607
2012,M6,Catastrophes,360,21292,189,5533,0.06506416049159588,0.40754850482157173,0.5924514951784282
2012,TF1,Catastrophes,511,38071,202,7700,0.06636363636363636,0.36169019916989725,0.6383098008301028
2013,France 2,Catastrophes,711,47922,248,8332,0.08533365338454153,0.34255751561709413,0.6574424843829059
2013,France 3,Catastrophes,436,32110,198,5181,0.08415363829376568,0.3040360116916624,0.6959639883083376
2013,M6,Catastrophes,414,25717,211,5608,0.07382310984308131,0.40690088030543853,0.5930991196945615
2013,TF1,Catastrophes,542,43857,207,7037,0.07702145800767372,0.36466221581051017,0.6353377841894897
2014,France 2,Catastrophes,709,53759,243,7978,0.08886939082476811,0.3453831363112629,0.6546168636887372
2014,France 3,Catastrophes,472,35387,210,5261,0.08971678388139137,0.29673796543057757,0.7032620345694224
2014,M6,Catastrophes,504,33439,230,5631,0.08950452850293021,0.41165212943524265,0.5883478705647573
2014,TF1,Catastrophes,597,48138,205,6840,0.08728070175438596,0.3705128232989756,0.6294871767010244
2015,France 2,Catastrophes,580,47069,186,6711,0.08642527194158843,0.35555616138705537,0.6444438386129447
2015,France 3,Catastrophes,430,31793,186,4514,0.09525919361984936,0.29749708521732615,0.7025029147826738
2015,M6,Catastrophes,453,31597,201,5172,0.08758700696055685,0.40791561019796263,0.5920843898020374
