theme,avg_theme_share,avg_female_share,avg_male_share,n_points
Société,0.17923156867403706,0.3594944517731145,0.6405055482268855,40
International,0.1237094254533746,0.3594944517731145,0.6405055482268855,40
Politique France,0.11800378115926853,0.3594944517731145,0.6405055482268855,40
Economie,0.1002597919712929,0.3594944517731145,0.6405055482268855,40
Catastrophes,0.08222688578547314,0.3594944517731145,0.6405055482268855,40
Culture-loisirs,0.0740545499774565,0.3594944517731145,0.6405055482268855,40
Sport,0.07175693011439853,0.3594944517731145,0.6405055482268855,40
Faits divers,0.05680574884337648,0.3594944517731145,0.6405055482268855,40
Justice,0.050397147520570576,0.3594944517731145,0.6405055482268855,40
Environnement,0.04749426811709066,0.3594944517731145,0.6405055482268855,40
Santé,0.03395163316787907,0.3594944517731145,0.6405055482268855,40
Histoire-hommages,0.023389379999852612,0.3594944517731145,0.6405055482268855,40
Education,0.020532411615141178,0.3594944517731145,0.6405055482268855,40
Sciences et techniques,0.01818647760078816,0.3594944517731145,0.6405055482268855,40
