hour,avg_female_share,avg_male_share,total_female_duration,total_male_duration,n_obs
10,0.3214134447397495,0.6785865552602505,27052587.36,58266315.32,31660
11,0.3159902473328014,0.6840097526671987,26812502.16,59211278.06,31742
12,0.32486836874230307,0.6751316312576969,28547896.62,59609106.2,31441
13,0.32521439418922404,0.6747856058107761,29133695.94,60690907.84,31698
14,0.31047657187827377,0.6895234281217263,27479641.64,60710765.480000004,31662
15,0.29796263764135156,0.7020373623586486,25761966.98,61153727.5,31699
16,0.2954408461710808,0.7045591538289192,25245204.96,60888580.06,31385
17,0.2967561120750659,0.7032438879249342,25561351.54,61399812.660000004,31432
18,0.28962547529792254,0.7103745247020774,25582079.56,63457832.5,31551
19,0.29966158916531055,0.7003384108346894,26606179.22,62424624.04,31484
20,0.2925362119025682,0.7074637880974319,25738103.46,62692519.18,31608
21,0.2585767325497159,0.7414232674502841,22336134.78,64291724.620000005,31434
22,0.2601313082237457,0.7398686917762543,22538022.900000002,63840648.620000005,31627
23,0.2582007150250604,0.7417992849749396,22592590.88,64970287.04,31556
